program_id;university;program_name;full_description;subjects;min_scores;program_type;specialization_focus;city;study_duration;degree_level
1;МГТУ им. Н.Э. Баумана;Программная инженерия;Системное программирование на C/C++ для аэрокосмической и automotive отраслей. Изучают разработку драйверов, операционные системы реального времени, embedded системы, Linux kernel. Выпускники работают в Роскосмосе, Яндексе (автономное вождение), Лаборатории Касперского;математика,русский,информатика;85,70,88;IT;Системное программирование;Москва;4;Бакалавриат
2;НИУ ВШЭ;Программная инженерия;Корпоративная разработка и enterprise-архитектура для финансового сектора. Изучают Java Spring, микросервисы, облачные платформы (AWS, Azure), DevOps. Карьера в Сбере, Тинькофф, Альфа-Банке, IT-консалтинге;математика,русский,информатика;83,75,85;IT;Корпоративные приложения;Москва;4;Бакалавриат
3;ИТМО;Программная инженерия;Веб и мобильная разработка в продуктовых IT-командах. Изучают JavaScript (React, Vue), Node.js, мобильную разработку (React Native, Flutter), agile методологии. Выпускники работают в VK, Яндекс.Такси, зарубежных IT-компаниях;математика,русский,информатика;82,68,84;IT;Веб-разработка;Санкт-Петербург;4;Бакалавриат
4;МФТИ;Программная инженерия;Теоретическая информатика с углубленным изучением алгоритмов и машинного обучения. Изучают алгоритмы и структуры данных, математическую логику, computational complexity. Карьера в исследовательских центрах Сколтеха, AI-лабораториях Яндекса;математика,русский,информатика;84,72,86;IT;Алгоритмы и ML;Москва;4;Бакалавриат
5;СПбПУ Петра Великого;Программная инженерия;Промышленная автоматизация и разработка SCADA-систем для smart factory. Изучают промышленные протоколы (Modbus, OPC UA), PLC программирование, цифровые двойники. Выпускники работают на Газпроме, Сименс, автоматизированных производствах;математика,русский,информатика;78,65,80;IT;Промышленный софт;Санкт-Петербург;4;Бакалавриат
6;МГУ;Программная инженерия;Фундаментальная информатика с математическими основами программирования. Изучают функциональное программирование (Haskell, OCaml), теорию компиляторов, верификацию программ. Выпускники работают в JetBrains, Microsoft Research, академических институтах;математика,русский,информатика;86,74,87;IT;Фундаментальная информатика;Москва;4;Бакалавриат
7;УрФУ;Программная инженерия;Телекоммуникационные системы и сетевое программирование. Изучают сетевые протоколы, облачные вычисления, информационную безопасность. Карьера в МТС, МегаФон, разработчиками сетевого оборудования;математика,русский,информатика;76,64,78;IT;Сетевые технологии;Екатеринбург;4;Бакалавриат
8;НГУ;Программная инженерия;Высокопроизводительные вычисления и параллельное программирование для науки. Изучают C++ с CUDA, MPI, распределенные системы, обработку больших данных. Выпускники работают в Институте ядерной физики, научных суперкомпьютерных центрах;математика,русский,информатика;79,66,81;IT;Научные вычисления;Новосибирск;4;Бакалавриат
9;НИТУ МИСиС;Программная инженерия;ИТ в металлургии и горном деле, цифровизация производств. Изучают промышленный IoT, датчики, ERP-системы (SAP), digital twin. Карьера в Норникеле, Металлоинвест, автоматизации горнодобывающей отрасли;математика,русский,информатика;75,63,77;IT;Промышленная автоматизация;Москва;4;Бакалавриат
10;КФУ;Программная инженерия;Разработка для нефтегазовой отрасли и геоинформационные системы. Изучают Python для анализа данных, GIS (ArcGIS), специализированный софт для моделирования месторождений. Выпускники работают в Татнефти, Лукойле, сервисных IT-компаниях;математика,русский,информатика;74,62,76;IT;Нефтегазовый софт;Казань;4;Бакалавриат
